# id	left	top	right	bottom	texture_id
[SPRITES]
#PANEL
130001	3	3	154	30	70

#P BADGE WHITE
130011	12	33	27	40	70

#TRIANGLE
130021	3	33	10	40	70

# NUMBERS
131000	33	32	40	39	70
131001	43	32	50	39	70
131002	53	32	60	39	70
131003	63	32	70	39	70
131004	73	32	80	39	70
131005	83	32	90	39	70
131006	93	32	100	39	70
131007	103	32	110	39	70
131008	113	32	120	39	70
131009	123	32	130	39	70

# ALPHABET
132000	133	32	140	39	70
132001	143	32	150	39	70
132002	33	42	40	49	70
132003	43	42	50	49	70
132004	53	42	60	49	70
132005	63	42	70	49	70
132006	73	42	80	49	70
132007	83	42	90	49	70
132008	93	42	100	49	70
132009	103	42	110	49	70
132010	113	42	120	49	70
132011	123	42	130	49	70
132012	133	42	140	49	70
132013	143	42	150	49	70
132014	33	52	40	59	70
132015	43	52	50	59	70
132016	53	52	60	59	70
132017	63	52	70	59	70
132018	73	52	80	59	70
132019	83	52	90	59	70
132020	93	52	100	59	70
132021	103	52	110	59	70
132022	113	52	120	59	70
132023	123	52	130	59	70
132024	133	52	140	59	70
132025	143	52	150	59	70

###CARD
#BLANK
133000	163	33	186	60	70
#MUSHROOM
133001	187	33	210	60	70
#FLOWER
133002	211	33	234	60	70
#STAR
133003	235	33	258	60	70

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
