# id	left	top	right	bottom	texture_id
[SPRITES]
### BLANK ###
-999	0	0	15	15	80
### ###

#background color 
-10001	34	85	49	100	20
-10002	51	85	66	100	20

#roulette card
-11001	121	51	136	66	20
-11002	121	69	136	84	20
-11003	121	87	136	102	20

#small bush
-12001	52	51	67	66	20

#cute cloud
-13011	68	76	83	91	20
-13012	85	76	100	91	20
-13013	102	76	117	91	20
-13021	68	93	83	108	20
-13022	85	93	100	108	20
-13023	102	93	117	108	20

#big bush
-14011	271	0	286	15	20
-14012	288	0	303	15	20
-14021	271	17	286	32	20
-14022	288	17	303	32	20
-14031	271	34	286	49	20
-14032	288	34	303	49	20
-14041	271	51	286	66	20

#color box - white
-15111	169	0	184	15	20
-15112	186	0	201	15	20
-15113	203	0	218	15	20
-15121	169	17	184	32	20
-15122	186	17	201	32	20
-15123	203	17	218	32	20
-15131	169	34	184	49	20
-15132	186	34	201	49	20
-15133	203	34	218	49	20

#color box - green
-15211	220	0	235	15	20
-15212	237	0	252	15	20
-15213	254	0	269	15	20
-15221	220	17	235	32	20
-15222	237	17	252	32	20
-15223	254	17	269	32	20
-15231	220	34	235	49	20
-15232	237	34	252	49	20
-15233	254	34	269	49	20

#color box - pink
-15311	169	51	184	66	20
-15312	186	51	201	66	20
-15313	203	51	218	66	20
-15321	169	68	184	83	20
-15322	186	68	201	83	20
-15323	203	68	218	83	20
-15331	169	85	184	100	20
-15332	186	85	201	100	20
-15333	203	85	218	100	20

#color box - blue
-15411	220	51	235	66	20
-15412	237	51	252	66	20
-15413	254	51	269	66	20
-15421	220	68	235	83	20
-15422	237	68	252	83	20
-15423	254	68	269	83	20
-15431	220	85	235	100	20
-15432	237	85	252	100	20
-15433	254	85	269	100	20

#color box - shadow
-16011	271	68	286	83	20
-16012	271	85	286	100	20
-16021	271	102	286	117	20
-16031	237	102	252	117	20
-16032	254	102	269	117	20

#
-17001	68	34	83	49	20

#big bush dark
-18012	150	51	165	66	20
-18011	150	68	165	83	20
-18021	150	85	165	100	20
-18022	150	102	165	117	20

#MAP BORDER
##color
-19000	338	509	353	524	80
#corner
-19011	321	492	336	507	80
-19012	355	492	370	507	80
-19021	321	526	336	541	80
-19022	355	526	370	541	80
#edge
-19010	338	492	353	507	80
-19020	338	526	353	541	80
-19001	321	509	336	524	80
-19002	355	509	370	524	80

#dancing bush
-20001	4	310	19	325	80
-20002	21	310	36	325	80
-20003	38	310	53	325	80
-20004	55	310	70	325	80

#orange bush
-21000	72	310	87	325	80

#river
-22011	147	303	162	318	80
-22012	181	303	196	318	80
-22021	147	337	162	352	80
-22022	181	337	196	352	80

-22001	147	320	162	335	80
-22010	164	303	179	318	80
-22020	164	337	179	352	80

#castle
-23001	89	177	104	192	80
-23002	106	177	121	192	80
###help 
-23010	123	177	138	192	80


#bridge
-24000	89	310	104	325	80

#path
##normal 
-25001	4	227	19	242	80
-25002	21	227	36	242	80

##coin
-25010	38	227	53	242	80

##coin end path
-25021	55	227	70	242	80
-25022	72	227	87	242	80

##coin joint
-25030	89	227	104	242	80

#fortress
-26000	157	160	172	175	80

#spades
-27000	140	160	155	175	80

#lock door
-28000	4	177	19	192	80

#mushroom house
-29000	21	177	36	192	80

#larry koopa on world map
-30001	38	177	53	192	80
-30002	55	177	70	192	80

## PORTAL ##
#start
-40000	4	143	19	158	80

#number
-40001	21	143	36	158	80
-40002	38	143	53	158	80
-40003	55	143	70	158	80
-40004	72	143	87	158	80
-40005	89	143	104	158	80
-40006	106	143	121	158	80

#pass
-49999	4	160	19	175	80

[ANIMATIONS]
-1000	-20001	300	-20002	300	-20003	300	-20004	300

-1100	-23010	500	-999	500
